dive,height,description,degree_of_difficulty,ignore1,ignore2,ignore3,ignore4,ignore5,ignore6
213B,5M,Back Flying 1 1/2 Somersault Pike,2.50,0.00,0.00,0,0.00,0.00,0,
213B,7M,Back Flying 1 1/2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0,
213B,10M,Back Flying 1 1/2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0,
213C,1M,Back Flying 1 1/2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0,
213C,3M,Back Flying 1 1/2 Somersault Tuck,2.10,0.00,0.00,0,37.05,44.10,7,
213C,5M,Back Flying 1 1/2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0,
213C,7M,Back Flying 1 1/2 Somersault Tuck,2.10,0.00,0.00,0,0.00,0.00,0,
213C,10M,Back Flying 1 1/2 Somersault Tuck,2.10,0.00,0.00,0,0.00,0.00,0,
214C,1M,Back Flying 2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0,
214C,3M,Back Flying 2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0,
214C,5M,Back Flying 2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0,
214C,7M,Back Flying 2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0,
214C,10M,Back Flying 2 Somersault Tuck,2.30,0.00,0.00,0,49.45,49.45,1,
215B,3M,Back Flying 2 1/2 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0,
215C,3M,Back Flying 2 1/2 Somersault Tuck,3.10,0.00,0.00,0,0.00,0.00,0,
300A,1M,Reverse Jump Straight,1.00,14.40,20.00,5,15.31,20.00,16,
300A,3M,Reverse Jump Straight,1.00,15.88,22.00,17,15.21,23.50,68,
300A,5M,Reverse Jump Straight,1.00,0.00,0.00,0,0.00,0.00,0,
300A,7M,Reverse Jump Straight,1.00,0.00,0.00,0,0.00,0.00,0,
300A,10M,Reverse Jump Straight,1.00,0.00,0.00,0,0.00,0.00,0,
300B,1M,Reverse Jump Pike,1.00,0.00,0.00,0,18.75,21.50,4,
300B,3M,Reverse Jump Pike,1.00,16.50,20.00,3,16.00,20.00,7,
300B,5M,Reverse Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
300B,7M,Reverse Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
300B,10M,Reverse Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
300C,1M,Reverse Jump Tuck,1.00,18.80,21.00,4,18.13,21.00,9,
300C,3M,Reverse Jump Tuck,1.00,15.31,21.00,16,15.45,21.00,39,
300C,5M,Reverse Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
300C,7M,Reverse Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
300C,10M,Reverse Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
300D,1M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
300D,3M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
300D,5M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
300D,7M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
300D,10M,Reverse Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
301A,1M,Reverse Dive Straight,1.80,28.26,48.60,480,29.41,54.00,4594,
301A,3M,Reverse Dive Straight,2.00,35.38,60.00,309,34.83,60.00,2914,
301A,5M,Reverse Dive Straight,1.80,32.67,43.20,18,34.10,48.60,71,
301A,7M,Reverse Dive Straight,2.00,39.32,55.00,17,39.46,57.00,64,
301A,10M,Reverse Dive Straight,2.00,34.40,42.00,8,40.76,55.00,50,
301B,1M,Reverse Dive Pike,1.70,30.26,52.80,5297,29.75,52.80,45288,
301B,3M,Reverse Dive Pike,1.90,34.21,55.10,5312,33.62,56.05,43315,
301B,5M,Reverse Dive Pike,1.70,29.78,50.00,475,29.24,50.00,3298,
301B,7M,Reverse Dive Pike,1.90,34.72,48.45,348,35.24,55.10,2834,
301B,10M,Reverse Dive Pike,1.90,40.45,53.20,343,40.42,57.60,3674,
301C,1M,Reverse Dive Tuck,1.60,24.57,45.00,5582,24.05,51.60,42978,
301C,3M,Reverse Dive Tuck,1.80,28.15,49.00,3816,27.45,62.10,30814,
301C,5M,Reverse Dive Tuck,1.60,26.28,44.40,1183,25.46,45.60,7369,
301C,7M,Reverse Dive Tuck,1.80,31.07,44.10,55,31.45,49.50,675,
301C,10M,Reverse Dive Tuck,1.80,36.30,45.00,3,35.35,47.70,85,
302A,1M,Reverse 1 Somersault Straight,1.80,20.80,36.90,14,23.38,43.74,69,
302A,3M,Reverse 1 Somersault Straight,1.90,22.04,32.30,15,23.60,34.20,68,
302A,5M,Reverse 1 Somersault Straight,1.80,0.00,0.00,0,0.00,0.00,0,
302A,7M,Reverse 1 Somersault Straight,1.90,0.00,0.00,0,0.00,0.00,0,
302A,10M,Reverse 1 Somersault Straight,2.00,0.00,0.00,0,39.40,48.00,15,
302B,1M,Reverse 1 Somersault Pike,1.70,25.57,45.60,121,25.51,49.20,680,
302B,3M,Reverse 1 Somersault Pike,1.80,26.56,37.80,45,26.17,40.50,317,
302B,5M,Reverse 1 Somersault Pike,1.70,18.13,22.10,3,19.48,28.05,12,
302B,7M,Reverse 1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0,
302B,10M,Reverse 1 Somersault Pike,1.90,0.00,0.00,0,0.00,0.00,0,
302C,1M,Reverse 1 Somersault Tuck,1.60,22.76,40.00,2354,22.52,40.00,16987,
302C,3M,Reverse 1 Somersault Tuck,1.70,24.24,41.65,942,23.75,42.00,8828,
302C,5M,Reverse 1 Somersault Tuck,1.60,24.36,35.40,106,23.12,39.60,803,
302C,7M,Reverse 1 Somersault Tuck,1.70,0.00,0.00,0,35.12,48.45,22,
302C,10M,Reverse 1 Somersault Tuck,1.80,33.00,38.70,6,35.32,49.50,67,
303A,1M,Reverse 1 1/2 Somersault Straight,2.70,0.00,0.00,0,46.76,67.50,11,
303A,3M,Reverse 1 1/2 Somersault Straight,2.60,43.83,56.55,32,40.67,68.90,146,
303A,5M,Reverse 1 1/2 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0,
303A,7M,Reverse 1 1/2 Somersault Straight,2.60,0.00,0.00,0,0.00,0.00,0,
303A,10M,Reverse 1 1/2 Somersault Straight,2.60,0.00,0.00,0,0.00,0.00,0,
303B,1M,Reverse 1 1/2 Somersault Pike,2.40,40.60,64.80,3944,39.70,68.40,26750,
303B,3M,Reverse 1 1/2 Somersault Pike,2.30,33.43,52.90,920,33.19,58.65,5404,
303B,5M,Reverse 1 1/2 Somersault Pike,2.40,34.73,44.40,8,42.39,64.80,172,
303B,7M,Reverse 1 1/2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0,
303B,10M,Reverse 1 1/2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0,
303C,1M,Reverse 1 1/2 Somersault Tuck,2.10,31.11,53.55,4787,30.80,56.70,34846,
303C,3M,Reverse 1 1/2 Somersault Tuck,2.00,29.28,55.00,1789,28.41,56.00,12301,
303C,5M,Reverse 1 1/2 Somersault Tuck,2.10,34.20,50.40,760,33.67,58.80,4578,
303C,7M,Reverse 1 1/2 Somersault Tuck,2.00,31.00,31.00,1,24.30,50.00,10,
303C,10M,Reverse 1 1/2 Somersault Tuck,2.00,0.00,0.00,0,35.40,47.00,5,
304A,1M,Reverse 2 Somersault Straight,2.90,0.00,0.00,0,0.00,0.00,0,
304A,3M,Reverse 2 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0,
304A,5M,Reverse 2 Somersault Straight,2.90,0.00,0.00,0,0.00,0.00,0,
304A,7M,Reverse 2 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0,
304A,10M,Reverse 2 Somersault Straight,2.80,0.00,0.00,0,0.00,0.00,0,
304B,1M,Reverse 2 Somersault Pike,2.60,30.12,40.95,3,32.88,56.16,22,
304B,3M,Reverse 2 Somersault Pike,2.40,43.50,46.80,4,31.50,46.80,16,
304B,5M,Reverse 2 Somersault Pike,2.60,0.00,0.00,0,45.50,45.50,1,
304B,7M,Reverse 2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0,
304B,10M,Reverse 2 Somersault Pike,2.50,0.00,0.00,0,26.50,39.75,3,
304C,1M,Reverse 2 Somersault Tuck,2.30,29.10,49.45,251,29.14,54.05,1292,
304C,3M,Reverse 2 Somersault Tuck,2.10,28.83,46.20,154,28.94,48.30,928,
304C,5M,Reverse 2 Somersault Tuck,2.30,29.90,39.10,11,29.16,40.25,82,
304C,7M,Reverse 2 Somersault Tuck,2.10,40.95,45.15,4,35.88,45.15,6,
304C,10M,Reverse 2 Somersault Tuck,2.20,39.60,44.00,2,37.95,47.30,4,
305A,3M,Reverse 2 1/2 Somersault Straight,3.40,0.00,0.00,0,0.00,0.00,0,
305A,7M,Reverse 2 1/2 Somersault Straight,3.50,0.00,0.00,0,0.00,0.00,0,
305A,10M,Reverse 2 1/2 Somersault Straight,3.40,0.00,0.00,0,0.00,0.00,0,
305B,1M,Reverse 2 1/2 Somersault Pike,3.20,60.38,84.80,53,54.89,86.40,371,
305B,3M,Reverse 2 1/2 Somersault Pike,3.00,49.03,88.50,1950,49.69,88.50,13477,
305B,5M,Reverse 2 1/2 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0,
305B,7M,Reverse 2 1/2 Somersault Pike,3.10,0.00,0.00,0,0.00,0.00,0,
305B,10M,Reverse 2 1/2 Somersault Pike,3.00,54.55,72.00,22,53.03,81.20,293,
305C,1M,Reverse 2 1/2 Somersault Tuck,3.00,47.04,85.50,2091,46.38,87.00,14624,
305C,3M,Reverse 2 1/2 Somersault Tuck,2.80,42.17,79.80,4995,41.54,84.00,35868,
305C,5M,Reverse 2 1/2 Somersault Tuck,3.10,51.87,86.80,120,49.32,86.80,770,
305C,7M,Reverse 2 1/2 Somersault Tuck,2.90,48.57,76.85,187,45.87,81.20,1066,
305C,10M,Reverse 2 1/2 Somersault Tuck,2.80,50.81,79.80,591,49.23,82.60,4637,
306B,1M,Reverse 3 Somersault Pike,3.30,0.00,0.00,0,0.00,0.00,0,
306B,3M,Reverse 3 Somersault Pike,2.90,0.00,0.00,0,0.00,0.00,0,
306B,5M,Reverse 3 Somersault Pike,3.40,0.00,0.00,0,0.00,0.00,0,
306B,7M,Reverse 3 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0,
306B,10M,Reverse 3 Somersault Pike,3.20,0.00,0.00,0,0.00,0.00,0,
306C,1M,Reverse 3 Somersault Tuck,3.00,0.00,0.00,0,51.00,70.50,2,
306C,3M,Reverse 3 Somersault Tuck,2.60,0.00,0.00,0,35.97,50.70,3,
306C,5M,Reverse 3 Somersault Tuck,3.10,0.00,0.00,0,0.00,0.00,0,
306C,7M,Reverse 3 Somersault Tuck,2.70,0.00,0.00,0,47.23,49.40,3,
306C,10M,Reverse 3 Somersault Tuck,2.90,34.80,34.80,1,34.80,34.80,1,
307B,3M,Reverse 3 1/2 Somersault Pike,3.80,0.00,0.00,0,52.07,93.10,21,
307B,10M,Reverse 3 1/2 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0,
307C,3M,Reverse 3 1/2 Somersault Tuck,3.50,58.18,96.25,472,60.10,103.25,3409,
307C,10M,Reverse 3 1/2 Somersault Tuck,3.40,64.03,102.00,254,65.19,102.00,2661,
308B,3M,Reverse 4 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0,
308B,7M,Reverse 4 Somersault Pike,4.50,0.00,0.00,0,0.00,0.00,0,
308B,10M,Reverse 4 Somersault Pike,4.40,0.00,0.00,0,0.00,0.00,0,
308C,3M,Reverse 4 Somersault Tuck,3.40,0.00,0.00,0,0.00,0.00,0,
308C,7M,Reverse 4 Somersault Tuck,4.20,0.00,0.00,0,0.00,0.00,0,
308C,10M,Reverse 4 Somersault Tuck,4.10,0.00,0.00,0,0.00,0.00,0,
309B,3M,Reverse 4 1/2 Somersault Pike,4.70,0.00,0.00,0,0.00,0.00,0,
309B,10M,Reverse 4 1/2 Somersault Pike,4.80,0.00,0.00,0,0.00,0.00,0,
309C,3M,Reverse 4 1/2 Somersault Tuck,4.40,0.00,0.00,0,0.00,0.00,0,
309C,10M,Reverse 4 1/2 Somersault Tuck,4.50,0.00,0.00,0,0.00,0.00,0,
312B,1M,Reverse Flying 1 Somersault Pike,1.80,32.85,33.30,2,29.70,41.40,6,
312B,3M,Reverse Flying 1 Somersault Pike,1.90,35.91,40.85,10,36.93,46.55,17,
312B,5M,Reverse Flying 1 Somersault Pike,1.80,0.00,0.00,0,0.00,0.00,0,
312B,7M,Reverse Flying 1 Somersault Pike,1.90,0.00,0.00,0,0.00,0.00,0,
312B,10M,Reverse Flying 1 Somersault Pike,2.00,0.00,0.00,0,0.00,0.00,0,
312C,1M,Reverse Flying 1 Somersault Tuck,1.70,16.15,16.15,1,22.99,30.60,19,
312C,3M,Reverse Flying 1 Somersault Tuck,1.80,27.60,33.30,9,28.94,41.40,37,
312C,5M,Reverse Flying 1 Somersault Tuck,1.70,0.00,0.00,0,10.20,10.20,1,
312C,7M,Reverse Flying 1 Somersault Tuck,1.80,0.00,0.00,0,0.00,0.00,0,
312C,10M,Reverse Flying 1 Somersault Tuck,1.90,39.86,50.35,7,37.73,50.35,40,
313B,1M,Reverse Flying 1 1/2 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0,
313B,3M,Reverse Flying 1 1/2 Somersault Pike,2.50,0.00,0.00,0,26.25,26.25,1,
313B,5M,Reverse Flying 1 1/2 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0,
313B,7M,Reverse Flying 1 1/2 Somersault Pike,2.50,0.00,0.00,0,0.00,0.00,0,
313B,10M,Reverse Flying 1 1/2 Somersault Pike,2.50,0.00,0.00,0,0.00,0.00,0,
313C,1M,Reverse Flying 1 1/2 Somersault Tuck,2.30,0.00,0.00,0,38.33,48.30,3,
313C,3M,Reverse Flying 1 1/2 Somersault Tuck,2.20,0.00,0.00,0,37.09,44.00,7,
313C,5M,Reverse Flying 1 1/2 Somersault Tuck,2.30,0.00,0.00,0,0.00,0.00,0,
313C,7M,Reverse Flying 1 1/2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0,
313C,10M,Reverse Flying 1 1/2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0,
400A,1M,Inward Jump Straight,1.00,15.33,18.50,6,15.25,18.50,10,
400A,3M,Inward Jump Straight,1.00,15.68,22.00,14,15.48,22.00,44,
400A,5M,Inward Jump Straight,1.00,0.00,0.00,0,15.00,15.50,2,
400A,7M,Inward Jump Straight,1.00,0.00,0.00,0,0.00,0.00,0,
400A,10M,Inward Jump Straight,1.00,0.00,0.00,0,0.00,0.00,0,
400B,1M,Inward Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
400B,3M,Inward Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
400B,5M,Inward Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
400B,7M,Inward Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
400B,10M,Inward Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0,
400C,1M,Inward Jump Tuck,1.00,16.17,17.50,3,13.64,17.50,7,
400C,3M,Inward Jump Tuck,1.00,13.14,16.00,7,14.40,19.00,21,
400C,5M,Inward Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
400C,7M,Inward Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
400C,10M,Inward Jump Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
400D,1M,Inward Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
400D,3M,Inward Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
400D,5M,Inward Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
400D,7M,Inward Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
400D,10M,Inward Jump Free,1.00,0.00,0.00,0,0.00,0.00,0,
401A,1M,Inward Dive Straight,1.80,34.10,54.00,96,34.84,55.80,1168,
401A,3M,Inward Dive Straight,1.70,34.36,44.20,52,33.78,50.15,484,
401A,5M,Inward Dive Straight,1.80,36.54,37.80,5,35.60,45.00,59,
401A,7M,Inward Dive Straight,1.70,0.00,0.00,0,31.45,41.65,9,
401A,10M,Inward Dive Straight,1.70,42.50,42.50,1,37.08,45.90,8,
401B,1M,Inward Dive Pike,1.50,28.19,53.40,9046,27.51,55.20,75737,
401B,3M,Inward Dive Pike,1.40,26.63,52.20,3829,25.47,69.00,30622,
401B,5M,Inward Dive Pike,1.50,28.10,49.80,984,26.59,54.00,6713,
401B,7M,Inward Dive Pike,1.40,25.64,45.60,211,26.02,45.60,1576,
401B,10M,Inward Dive Pike,1.40,36.90,58.20,96,40.40,58.20,1129,
401C,1M,Inward Dive Tuck,1.40,22.23,41.40,3968,21.83,50.40,30961,
401C,3M,Inward Dive Tuck,1.30,20.91,53.40,2093,20.16,56.40,16282,
401C,5M,Inward Dive Tuck,1.40,22.64,35.40,281,22.75,51.60,2033,
401C,7M,Inward Dive Tuck,1.30,22.84,27.30,7,22.71,29.25,68,
401C,10M,Inward Dive Tuck,1.30,0.00,0.00,0,22.51,26.65,8,
402A,1M,Inward 1 Somersault Straight,2.00,0.00,0.00,0,34.00,37.00,2,
402A,3M,Inward 1 Somersault Straight,1.80,0.00,0.00,0,28.05,38.70,6,
402A,5M,Inward 1 Somersault Straight,2.00,0.00,0.00,0,0.00,0.00,0,
402A,7M,Inward 1 Somersault Straight,1.80,0.00,0.00,0,0.00,0.00,0,
402A,10M,Inward 1 Somersault Straight,1.90,0.00,0.00,0,0.00,0.00,0,
402B,1M,Inward 1 Somersault Pike,1.70,24.37,35.70,27,23.81,45.90,133,
402B,3M,Inward 1 Somersault Pike,1.50,0.00,0.00,0,19.33,30.00,22,
402B,5M,Inward 1 Somersault Pike,1.70,0.00,0.00,0,34.00,34.00,1,
402B,7M,Inward 1 Somersault Pike,1.50,0.00,0.00,0,0.00,0.00,0,
402B,10M,Inward 1 Somersault Pike,1.60,0.00,0.00,0,0.00,0.00,0,
402C,1M,Inward 1 Somersault Tuck,1.60,23.10,41.60,2346,23.01,44.80,16893,
402C,3M,Inward 1 Somersault Tuck,1.40,18.77,27.30,118,18.58,34.30,1102,
402C,5M,Inward 1 Somersault Tuck,1.60,21.20,24.00,2,21.71,30.40,25,
402C,7M,Inward 1 Somersault Tuck,1.40,0.00,0.00,0,0.00,0.00,0,
402C,10M,Inward 1 Somersault Tuck,1.50,0.00,0.00,0,25.50,25.50,2,
403A,3M,Inward 1 1/2 Somersault Straight,2.60,49.40,49.40,1,46.80,49.40,3,
403B,1M,Inward 1 1/2 Somersault Pike,2.40,44.91,68.40,7430,44.46,72.00,52782,
403B,3M,Inward 1 1/2 Somersault Pike,2.10,38.00,56.70,5304,38.00,61.74,42321,
403B,5M,Inward 1 1/2 Somersault Pike,2.40,43.10,57.60,356,42.32,64.80,2324,
403B,7M,Inward 1 1/2 Somersault Pike,2.10,38.91,59.85,376,39.37,60.90,2961,
403B,10M,Inward 1 1/2 Somersault Pike,2.00,39.19,57.00,475,40.66,60.00,4658,
403C,1M,Inward 1 1/2 Somersault Tuck,2.20,35.07,62.70,6396,34.52,63.80,49482,
403C,3M,Inward 1 1/2 Somersault Tuck,1.90,30.23,50.35,4194,29.78,56.05,34713,
403C,5M,Inward 1 1/2 Somersault Tuck,2.20,35.79,57.20,1308,35.59,66.00,8381,
403C,7M,Inward 1 1/2 Somersault Tuck,1.90,31.94,38.95,24,34.58,51.30,284,
403C,10M,Inward 1 1/2 Somersault Tuck,1.80,37.26,46.80,10,35.77,49.50,166,
404B,1M,Inward 2 Somersault Pike,3.00,0.00,0.00,0,15.00,15.00,1,
404B,3M,Inward 2 Somersault Pike,2.60,39.62,62.40,82,38.91,62.40,361,
404B,5M,Inward 2 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0,
404B,7M,Inward 2 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0,
404B,10M,Inward 2 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0,
404C,1M,Inward 2 Somersault Tuck,2.80,41.19,60.90,711,41.00,71.40,3381,
404C,3M,Inward 2 Somersault Tuck,2.40,35.78,56.40,1657,35.24,59.04,14553,
404C,5M,Inward 2 Somersault Tuck,2.80,40.87,58.80,161,41.82,67.20,1205,
404C,7M,Inward 2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0,
404C,10M,Inward 2 Somersault Tuck,2.40,0.00,0.00,0,18.00,18.00,1,
405B,1M,Inward 2 1/2 Somersault Pike,3.40,66.36,90.10,59,65.17,90.10,287,
405B,3M,Inward 2 1/2 Somersault Pike,3.00,55.37,83.70,2054,56.05,85.50,15520,
405B,5M,Inward 2 1/2 Somersault Pike,3.40,76.50,76.50,1,76.50,76.50,1,
405B,7M,Inward 2 1/2 Somersault Pike,3.00,48.00,48.00,1,38.25,48.00,2,
405B,10M,Inward 2 1/2 Somersault Pike,2.80,50.38,74.20,439,50.79,78.40,3707,
405C,1M,Inward 2 1/2 Somersault Tuck,3.10,52.35,85.25,2039,52.09,93.00,14036,
405C,3M,Inward 2 1/2 Somersault Tuck,2.70,45.18,72.90,7506,44.53,87.75,52560,
405C,5M,Inward 2 1/2 Somersault Tuck,3.10,50.56,79.05,360,49.63,86.80,2251,
405C,7M,Inward 2 1/2 Somersault Tuck,2.70,45.23,72.90,1057,45.40,79.65,8233,
405C,10M,Inward 2 1/2 Somersault Tuck,2.50,44.92,75.00,118,44.91,75.00,941,
406B,5M,Inward 3 Somersault Pike,4.00,0.00,0.00,0,0.00,0.00,0,
406B,7M,Inward 3 Somersault Pike,3.40,0.00,0.00,0,0.00,0.00,0,
406B,10M,Inward 3 Somersault Pike,3.50,0.00,0.00,0,0.00,0.00,0,
406C,5M,Inward 3 Somersault Tuck,3.70,0.00,0.00,0,0.00,0.00,0,
406C,7M,Inward 3 Somersault Tuck,3.10,0.00,0.00,0,0.00,0.00,0,
406C,10M,Inward 3 Somersault Tuck,3.20,0.00,0.00,0,0.00,0.00,0,
407B,3M,Inward 3 1/2 Somersault Pike,3.70,0.00,0.00,0,72.84,96.20,28,
407B,10M,Inward 3 1/2 Somersault Pike,3.50,60.20,80.50,5,70.39,92.75,9,
407C,3M,Inward 3 1/2 Somersault Tuck,3.40,62.26,96.90,564,62.29,99.45,3501,
407C,7M,Inward 3 1/2 Somersault Tuck,3.40,0.00,0.00,0,63.58,96.90,10,
407C,10M,Inward 3 1/2 Somersault Tuck,3.20,60.33,96.00,1054,61.02,96.00,8776,
407D,1M,Inward 3 1/2 Somersault Free,3.80,0.00,0.00,0,0.00,0.00,0,
408B,10M,Inward 4 Somersault Pike,4.40,0.00,0.00,0,0.00,0.00,0,
408C,10M,Inward 4 Somersault Tuck,4.10,0.00,0.00,0,0.00,0.00,0,
409B,3M,Inward 4 1/2 Somersault Tuck,4.60,0.00,0.00,0,0.00,0.00,0,
409C,3M,Inward 4 1/2 Somersault Tuck,4.20,0.00,0.00,0,0.00,0.00,0,
409C,10M,Inward 4 1/2 Somersault Tuck,4.10,49.20,59.45,3,76.89,106.60,33,
412B,1M,Inward Flying 1 Somersault Pike,2.10,0.00,0.00,0,22.05,22.05,1,
412B,3M,Inward Flying 1 Somersault Pike,1.90,0.00,0.00,0,38.08,45.00,3,
412B,5M,Inward Flying 1 Somersault Pike,2.10,0.00,0.00,0,0.00,0.00,0,
412B,7M,Inward Flying 1 Somersault Pike,1.90,0.00,0.00,0,0.00,0.00,0,
412B,10M,Inward Flying 1 Somersault Pike,2.00,0.00,0.00,0,25.50,25.50,1,
412C,1M,Inward Flying 1 Somersault Tuck,2.00,0.00,0.00,0,31.00,32.00,2,
412C,3M,Inward Flying 1 Somersault Tuck,1.80,0.00,0.00,0,29.10,43.20,3,
412C,5M,Inward Flying 1 Somersault Tuck,2.00,0.00,0.00,0,0.00,0.00,0,
412C,7M,Inward Flying 1 Somersault Tuck,1.80,0.00,0.00,0,25.20,25.20,1,
412C,10M,Inward Flying 1 Somersault Tuck,1.90,25.65,25.65,1,37.53,54.15,6,
413B,1M,Inward Flying 1 1/2 Somersault Pike,2.90,0.00,0.00,0,33.35,33.35,1,
413B,3M,Inward Flying 1 1/2 Somersault Pike,2.60,0.00,0.00,0,65.26,72.80,8,
413B,5M,Inward Flying 1 1/2 Somersault Pike,2.90,0.00,0.00,0,0.00,0.00,0,
413B,7M,Inward Flying 1 1/2 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0,
413B,10M,Inward Flying 1 1/2 Somersault Pike,2.50,0.00,0.00,0,0.00,0.00,0,
413C,1M,Inward Flying 1 1/2 Somersault Tuck,2.70,0.00,0.00,0,50.53,78.30,7,
413C,3M,Inward Flying 1 1/2 Somersault Tuck,2.40,50.40,50.40,1,43.00,64.80,24,
413C,5M,Inward Flying 1 1/2 Somersault Tuck,2.70,0.00,0.00,0,0.00,0.00,0,
413C,7M,Inward Flying 1 1/2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0,
413C,10M,Inward Flying 1 1/2 Somersault Tuck,2.30,0.00,0.00,0,0.00,0.00,0,
414C,3M,Inward Flying 2 Somersault Tuck,2.90,0.00,0.00,0,43.50,43.50,1,
414C,10M,Inward Flying 2 Somersault Tuck,2.90,0.00,0.00,0,0.00,0.00,0,
600A,5M,Armstand Dive Straight,1.50,23.39,34.50,33,22.85,42.00,188,
600A,7M,Armstand Dive Straight,1.60,31.20,31.20,1,29.04,32.00,10,
600A,10M,Armstand Dive Straight,1.60,23.60,24.00,2,23.60,24.00,2,
611A,1M,Armstand Forward 1/2 Somersault Straight,1.00,16.75,20.00,2,18.51,37.60,100,
611A,3M,Armstand Forward 1/2 Somersault Straight,1.00,0.00,0.00,0,26.21,41.58,11,
611A,5M,Armstand Forward 1/2 Somersault Straight,1.80,27.90,39.60,2,29.18,42.30,12,
611A,7M,Armstand Forward 1/2 Somersault Straight,2.00,0.00,0.00,0,35.70,48.00,5,
611A,10M,Armstand Forward 1/2 Somersault Straight,2.00,0.00,0.00,0,0.00,0.00,0,
611B,5M,Armstand Forward 1/2 Somersault Pike,1.70,0.00,0.00,0,17.28,28.90,9,
611B,7M,Armstand Forward 1/2 Somersault Pike,1.90,0.00,0.00,0,18.37,34.20,3,
611B,10M,Armstand Forward 1/2 Somersault Pike,1.90,0.00,0.00,0,0.00,0.00,1,
611C,5M,Armstand Forward 1/2 Somersault Tuck,1.50,0.00,0.00,0,8.36,24.00,7,
611C,7M,Armstand Forward 1/2 Somersault Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
611C,10M,Armstand Forward 1/2 Somersault Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
612A,5M,Armstand Forward 1 Somersault Straight,1.80,10.80,10.80,1,18.34,29.70,8,
612A,7M,Armstand Forward 1 Somersault Straight,1.90,0.00,0.00,0,20.90,20.90,1,
612A,10M,Armstand Forward 1 Somersault Straight,2.00,20.00,20.00,1,23.50,32.00,6,
612B,5M,Armstand Forward 1 Somersault Pike,1.70,26.99,42.50,950,26.05,48.45,5972,
612B,7M,Armstand Forward 1 Somersault Pike,1.80,30.47,47.70,599,30.16,53.10,4476,
612B,10M,Armstand Forward 1 Somersault Pike,1.90,35.63,54.15,443,35.83,57.00,3678,
612C,5M,Armstand Forward 1 Somersault Tuck,1.50,21.26,32.25,244,20.56,37.50,1637,
612C,7M,Armstand Forward 1 Somersault Tuck,1.60,20.27,31.20,6,21.18,32.80,36,
